GDI Rank,Country,Location,Gender Development Index (GDI),Human Development Index (Female),Human Development Index (Male),Life Expectancy at Birth (Female),Life Expectancy at Birth (Male),Expected Years of Education (Female),Expected Years of Education (Male),Mean Years of Education (Female),Mean Years of Education (Male),Estimated Gross National Income per Capita (Female),Estimated Gross National Income per Capita (Male)
32,Cyprus,Europe,0.971,0.836,0.861,82.4,78,14.2,13.8,11.4,11.8,22613,34400
32,Qatar,Asia,0.998,0.853,0.854,79.9,77.3,14,13.9,10.4,8.8,55123,143979
34,Andorra,Europe,..,..,..,..,..,..,..,..,..,..,..
35,Slovakia,Europe,0.999,0.841,0.842,79.9,72.5,15.7,14.5,12.3,12.2,19903,32122
36,Poland,Europe,1.007,0.844,0.839,81.4,73.4,16.3,14.7,11.7,11.9,18423,28271
37,Lithuania,Europe,1.03,0.851,0.827,78.9,67.7,16.9,15.9,12.3,12.5,20955,28656
37,Malta,Europe,0.937,0.806,0.861,82.2,78.8,14.8,14,9.9,10.8,16435,39432
39,Saudi Arabia,Asia,0.901,0.778,0.864,75.7,73,16.6,16.1,7.8,9.3,20094,77044
40,Argentina,South America,0.982,0.819,0.834,80.1,72.4,19.1,16.8,9.8,9.8,14202,30237
41,United Arab Emirates,Asia,0.954,0.796,0.835,78.5,76.3,13.9,12.9,9.9,8.5,22391,77300
42,Chile,South America,0.967,0.815,0.843,84.5,78.6,15.5,15,9.7,9.9,14732,27992
43,Portugal,Europe,0.985,0.823,0.836,83.8,77.9,16.5,16.1,8.1,8.4,21259,30543
44,Hungary,Europe,0.976,0.818,0.838,78.7,71.5,15.7,15.1,11.3,12.2,17443,28960
45,Bahrain,Asia,0.94,0.789,0.839,77.6,75.8,15.1,13.7,9.1,9.6,20038,49890
46,Latvia,Europe,1.029,0.829,0.805,78.9,69.1,15.9,14.6,11.7,11.2,18437,26845
47,Croatia,Europe,0.987,0.812,0.823,80.6,74,15.4,14.2,10.5,11.6,16200,22853
48,Kuwait,Asia,0.972,0.793,0.816,75.8,73.5,15.2,14.2,7.3,7.1,42292,111988
49,Montenegro,Europe,0.954,0.782,0.819,78.4,74.1,15.5,14.8,10.5,11.8,11106,18094
50,Belarus,Europe,1.021,0.806,0.789,77.2,65.5,16.2,15.1,11.9,12.1,12922,21010
50,Russian Federation,Europe,1.019,0.804,0.789,75.8,64.4,15.1,14.3,11.9,12,17269,28287
52,Oman,Asia,0.909,741,815,79.2,75.1,13.9,13.5,7,8.5,14709,46400
52,Romania,Europe,0.989,0.787,0.796,78.3,71.2,14.6,13.8,10.3,11.1,15250,21117
52,Uruguay,South America,1.018,0.797,0.783,80.6,73.5,16.6,14.4,8.7,8.2,14721,24166
55,Bahamas,Central America,..,..,..,78.3,72.3,..,..,11.1,10.7,17868,24957
